date,nav_raw,nav_q3z,nav_stack_base,nav_stack_comb_best,nav_ddc15_actual,pos_MA15_base,pos_comb_best,pos_ddc_base,pos_ddc_comb,dd_raw,rv_hi
2006-09-11,1.2327194901534029,1.1217660435765435,1.1132220334156029,1.1556169681965685,1.2328081061320877,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-12,1.2402722456468829,1.126025083362155,1.1174486339244039,1.1600045307125317,1.2403614045672713,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-13,1.2372659193968505,1.1243337259415387,1.1157701588468307,1.1582621341176789,1.23735486220275,0.61968109144384,1.0,1.0,1.0,-0.0024239244735049237,0.0
2006-09-14,1.2462643383182872,1.1294009095383715,1.1207987478825367,1.1634822273617187,1.2463539279896785,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-15,1.2586916239745292,1.1363797374770084,1.1277244210861372,1.1706716516005733,1.2587821070008884,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-18,1.2728000091553184,1.1442728754025229,1.1355574403701367,1.1788029764621801,1.2728915063851285,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-19,1.2762753242741036,1.1462089936038304,1.137478811990658,1.1807975198508636,1.276367071332405,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-20,1.2795912258003508,1.1480543884713046,1.1393101512780146,1.1826986021969441,1.2796832112274463,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-21,1.297226045369167,1.157859001887936,1.1490400871652846,1.192799084107363,1.2973192985029935,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-22,1.2854006207948565,1.1513182902352894,1.142549193304093,1.1860609969517024,1.2854930238394449,0.61968109144384,1.0,1.0,1.0,-0.009115932120330905,0.0
2006-09-25,1.2886876821171078,1.153142744367834,1.1443597513531039,1.187940506645669,1.2887803214572675,0.61968109144384,1.0,1.0,1.0,-0.006582016513266509,0.0
2006-09-26,1.2871422540372672,1.152285800378596,1.1435093343381788,1.1870577031231093,1.2872347822818997,0.61968109144384,1.0,1.0,1.0,-0.007773349423484732,0.0
2006-09-27,1.2909748200221127,1.1544119388602632,1.145619278936197,1.189248000930945,1.2910676237767766,0.61968109144384,1.0,1.0,1.0,-0.004818917542836809,0.0
2006-09-28,1.2976513215605887,1.158111585416328,1.1492907468734241,1.193059289711703,1.2977446052660628,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-29,1.3104636147575637,1.1651973628338248,1.1563225549676384,1.200358890785752,1.3105578194948784,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-10-09,1.3286364940745867,1.1752104157875192,1.1681205140606379,1.2126061526155665,1.3287319913789342,0.7357480397798907,1.0,1.0,1.0,0.0,0.0
2006-10-10,1.3372017180558504,1.1807845483494372,1.173661018557704,1.2183576566435046,1.3372978309957044,0.7357480397798907,1.0,1.0,1.0,0.0,0.0
2006-10-11,1.34793353445498,1.1877568486364258,1.180591255803742,1.2255518187376349,1.348030418756709,0.7357480397798907,1.0,1.0,1.0,0.0,0.0
2006-10-12,1.3432082357093156,1.1846933517033669,1.1775462405756647,1.2223908399208696,1.3433047803746618,0.7357480397798907,1.0,1.0,1.0,-0.0035055873489898692,0.0
2006-10-13,1.3416361996377304,1.1836732247415513,1.176532267915931,1.2213382520491756,1.3417326313111424,0.7357480397798907,1.0,1.0,1.0,-0.004671843719502022,0.0
2006-10-16,1.343133059062541,1.184644868769935,1.1774980501338828,1.2223408142381607,1.3432295983244775,0.7357480397798907,1.0,1.0,1.0,-0.003561359124713892,0.0
2006-10-17,1.3420718609040303,1.1839562248136868,1.1768135606829973,1.2216302573139792,1.3421683238911062,0.7357480397798907,1.0,1.0,1.0,-0.00434863693284393,0.0
2006-10-18,1.3525844329462964,1.1907795799129353,1.1835957513095254,1.2286707347158792,1.3526816515368016,0.7357480397798907,1.0,1.0,1.0,0.0,0.0
2006-10-19,1.3589449677831276,1.194899509020183,1.1876908253847722,1.2329217618652946,1.3590426435445246,0.7357480397798907,1.0,1.0,1.0,0.0,0.0
2006-10-20,1.356167859841254,1.1931029090545633,1.185905064088575,1.2310679932611084,1.3562653359947647,0.7357480397798907,1.0,1.0,1.0,-0.0020435764565240877,0.0
2006-10-23,1.3239008317370753,1.1722170406196806,1.1651451975616867,1.2310679932611084,1.323995988660144,0.7357480397798907,0.0,1.0,1.0,-0.025787752173085043,0.0
2006-10-24,1.3472232710757628,1.1874104647432535,1.180246961602534,1.2470242006002237,1.3473201043264782,0.7357480397798907,1.0,1.0,1.0,-0.00862558601360186,0.0
2006-10-25,1.3513750951632832,1.190102801336679,1.182923055656235,1.249851705484046,1.3514722268312185,0.7357480397798907,1.0,1.0,1.0,-0.00557040409972831,0.0
2006-10-26,1.3485007317797102,1.1882403739382006,1.1810718640560878,1.249851705484046,1.34859765684941,0.7357480397798907,0.0,1.0,1.0,-0.00768554742908778,0.0
2006-10-27,1.329835528989744,1.176139549930609,1.1690440428502717,1.249851705484046,1.329931112476129,0.7357480397798907,0.0,1.0,1.0,-0.021420616348335475,0.0
2006-10-30,1.3332631752977433,1.1783699667824952,1.1712610038681408,1.249851705484046,1.3333590051502218,0.7357480397798907,0.0,1.0,1.0,-0.018898331495556753,0.0
2006-10-31,1.3452528463359,1.1861665112851514,1.1764566691194953,1.249851705484046,1.3453495379600289,0.4932829389731647,0.0,1.0,1.0,-0.01007555255866166,0.0
2006-11-01,1.3513307999505413,1.1888101080710587,1.1790786256826373,1.249851705484046,1.3514279120772883,0.4932829389731647,0.0,1.0,1.0,-0.005602999395190711,0.0
2006-11-02,1.3446521287882482,1.1859118505656938,1.1762040930275905,1.249851705484046,1.3447487609585254,0.4932829389731647,0.0,1.0,1.0,-0.010517599559749291,0.0
