date,open,close,high,low,vol
2024-05-21,135.797,135.719,135.797,135.698,32296.000
2024-05-22,135.732,135.777,135.780,135.722,33810.000
2024-05-23,135.810,135.871,135.878,135.810,34495.000
2024-05-24,135.899,135.874,135.906,135.838,32052.000
2024-05-27,135.873,135.840,135.873,135.804,35643.000
2024-05-28,135.857,135.916,135.921,135.843,30882.000
2024-05-29,135.966,135.988,136.000,135.929,28917.000
2024-05-30,135.986,136.041,136.048,135.985,28778.000
2024-05-31,135.980,136.018,136.059,135.980,35903.000
2024-06-03,136.025,136.160,136.160,136.023,43246.000
2024-06-04,136.140,136.192,136.199,136.124,35781.000
2024-06-05,136.158,136.231,136.349,136.158,33142.000
2024-06-06,136.233,136.205,136.270,136.159,28371.000
2024-06-07,136.215,136.254,136.255,136.208,32798.000
2024-06-11,136.254,136.254,136.298,136.218,26420.000
2024-06-12,136.243,136.236,136.284,136.211,25551.000
2024-06-13,136.238,136.249,136.277,136.237,28111.000
2024-06-14,136.265,136.270,136.279,136.233,33934.000
2024-06-17,136.272,136.327,136.328,136.271,27625.000
2024-06-18,136.327,136.364,136.382,136.327,28487.000
2024-06-19,136.366,136.391,136.423,136.171,53157.000
2024-06-20,136.476,136.506,136.510,136.424,30529.000
2024-06-21,136.509,136.437,136.509,136.392,29703.000
2024-06-24,136.437,136.520,136.525,136.331,28418.000
2024-06-25,136.515,136.562,136.620,136.514,38625.000
2024-06-26,136.595,136.662,136.677,136.595,35230.000
2024-06-27,136.674,136.803,136.812,136.674,31055.000
2024-06-28,136.838,136.899,136.946,136.833,49050.000
2024-07-01,136.930,136.672,136.980,136.560,8915.000
2024-07-02,136.639,136.795,136.798,136.331,34446.000
2024-07-03,136.817,137.007,137.039,136.817,40451.000
2024-07-04,137.032,136.934,137.032,136.907,64538.000
2024-07-05,136.935,136.828,136.982,136.780,45067.000
2024-07-08,136.688,136.561,136.688,136.411,46433.000
2024-07-09,136.635,136.729,136.732,136.635,34476.000
2024-07-10,136.729,136.815,136.822,136.679,40662.000
2024-07-11,136.814,136.808,136.825,136.728,44301.000
2024-07-12,136.835,136.916,136.947,136.835,32251.000
2024-07-15,136.930,136.968,136.984,136.916,34516.000
2024-07-16,136.970,136.967,136.994,136.863,32254.000
2024-07-17,136.971,136.999,137.029,136.940,38830.000
2024-07-18,137.006,136.958,137.007,136.917,18601.000
2024-07-19,136.961,137.050,137.055,136.961,38215.000
2024-07-22,137.192,137.341,137.400,137.090,30731.000
2024-07-23,137.464,137.486,137.490,137.363,45656.000
2024-07-24,137.497,137.488,137.542,137.430,40589.000
2024-07-25,137.488,137.508,137.588,137.481,35684.000
2024-07-26,137.524,137.567,137.581,137.503,18868.000
2024-07-29,137.580,137.544,137.580,137.518,34882.000
2024-07-30,137.549,137.564,137.596,137.504,38542.000
2024-07-31,137.630,137.661,137.750,137.601,32067.000
2024-08-01,137.754,137.887,138.000,137.650,24949.000
2024-08-02,137.970,138.088,138.288,137.958,25648.000
2024-08-05,138.094,138.139,138.250,137.990,38029.000
2024-08-06,137.916,137.940,137.961,137.601,27544.000
2024-08-07,137.934,138.131,138.210,137.934,39797.000
2024-08-08,138.100,138.011,138.100,137.798,40429.000
2024-08-09,137.822,137.826,137.847,137.725,29740.000
2024-08-12,137.550,137.204,137.749,137.200,48832.000
2024-08-13,137.318,137.609,137.668,137.209,56401.000
2024-08-14,137.758,137.736,137.989,137.683,36982.000
2024-08-15,137.736,137.600,137.836,137.551,24381.000
2024-08-16,137.585,137.577,137.665,137.520,36548.000
